Place	Year	Time
1	Sr	17:11  
2	Jr	17:17  
3	Sr	17:19  
4	Sr	17:20  
5	So	17:21  
6	Fr	17:22  
7	So	17:27  
8	Sr	17:31  
9	Sr	17:34  
10	Fr	17:39  
11	Jr	17:41  
12	So	17:42  
13	Sr	17:47  
14	So	17:48  
15	Jr 	17:48  
16	Fr 	17:51  
17	Fr 	17:51  
18	Jr 	17:52  
19	Jr 	17:52  
20	Jr 	17:53  
21	Sr 	17:53  
22	Fr 	17:54  
23	So 	17:54  
24	Fr 	17:55  
25	Sr 	17:56  
26	Sr 	17:59  
27	So 	18:00  
28	Jr 	18:05  
29	Sr 	18:05  
30	Fr 	18:06  
31	Fr 	18:10  
32	Sr 	18:12  
33	Sr 	18:12  
34	Fr 	18:12  
35	Fr 	18:12  
36	Sr 	18:14  
37	So 	18:15  
38	Fr 	18:18  
39	Sr 	18:20  
40	Fr 	18:21  
41	So 	18:21  
42	Sr 	18:21  
43	Sr 	18:21  
44	Jr 	18:22  
45	So 	18:22 
46	So 	18:22  
47	Jr 	18:22  
48	Fr 	18:23  
49	Jr 	18:23  
50	Sr 	18:24  
51	Sr 	18:24  
52	Sr 	18:25  
53	Jr 	18:25  
54	Jr 	18:27  
55	Fr 	18:27  
56	Fr 	18:28  
57	Jr 	18:29  
58	Jr 	18:29  
59	Jr 	18:31  
60	Sr 	18:31  
61	So 	18:32  
62	Sr 	18:32  
63	Jr 	18:33  
64	Fr 	18:33  
65	Sr 	18:34  
66	Sr 	18:34  
67	Fr 	18:35  
68	So 	18:37  
69	Jr 	18:38  
70	Jr 	18:39  
71	Sr 	18:39  
72	So 	18:39  
73	So 	18:40  
74	So 	18:40  
75	Jr 	18:41  
76	Jr 	18:41  
77	Sr 	18:42  
78	Sr 	18:42  
79	Sr 	18:42  
80	So 	18:42  
81	Jr 	18:43  
82	Sr 	18:44  
83	Fr 	18:48  
84	Sr 	18:48  
85	Sr 	18:49  
86	Fr 	18:51  
87	So 	18:51  
88	Sr 	18:52  
90.	Jr 	18:53  
91	Sr 	18:54  
92	Jr 	18:55  
93	Jr 	18:56  
94	So 	18:56  
95	Jr 	18:56  
96	Sr 	18:56  
97	Jr 	18:56  
98	So 	18:57  
99	So 	18:57  
100	So 	18:58  
101	Jr 	18:58  
102	Sr 	18:58  
103	So 	18:59  
104	Sr 	18:59  
105	So 	18:59  
106	So 	19:00  
107	Jr 	19:00  
108	So 	19:01  
109	Jr 	19:01  
110	Sr 	19:02  
111	Fr 	19:02  
112	Sr 	19:03  
113	Sr 	19:03  
114	So 	19:04  
115	So 	19:05  
116	Jr 	19:05  
117	Fr 	19:05  
118	Sr 	19:05  
119	So 	19:06  
120	Fr 	19:06  
121	Sr 	19:06  
122	So 	19:07  
123	So 	19:07  
124	Jr 	19:08  
125	So 	19:09  
126	So 	19:10  
127	Fr 	19:11  
128	So 	19:12  
129	Sr 	19:13  
130	So 	19:13  
131	Sr 	19:15  
132	Sr 	19:15  
133	Jr 	19:17  
134	So 	19:18  
135	So 	19:20  
136	Fr 	19:20  
137	Jr 	19:21  
138	Fr 	19:21  
139	Sr 	19:21  
140	So 	19:21  
141	So 	19:21  
142	Fr 	19:22  
143	Sr 	19:23  
144	Sr 	19:24  
145	Jr 	19:25  
146	So 	19:26  
147	Sr 	19:27  
148	Sr 	19:29  
149	Sr 	19:30  
150	Sr 	19:31  
151	Jr 	19:31  
152	Fr 	19:33  
153	Fr 	19:33  
154	Fr 	19:34  
155	Fr 	19:34  
156	Sr 	19:38  
157	Jr 	19:39  
158	Sr 	19:40  
159	So 	19:41  
160	Jr 	19:42  
161	Jr 	19:43  
162	Jr 	19:43  
163	Fr 	19:45  
164	Fr 	19:46  
165	Fr 	19:48  
166	Sr 	19:48  
167	Sr 	19:49  
168	Jr 	19:50  
169	Sr 	19:52  
170	Sr 	19:53  
171	Sr 	19:57  
172	Jr 	19:58  
173	Sr 	19:58  
174	So 	19:59  
175	So 	20:00  
176	Fr 	20:00  
177	So 	20:00  
178	So 	20:01  
179	Jr 	20:01  
180	Jr 	20:02  
181	Sr 	20:03  
182	Fr 	20:06  
183	Fr 	20:10  
184	Fr 	20:18  
185	Fr 	20:20  
186	So 	20:22  
187	Jr 	20:25  
188	Sr 	20:29  
189	Sr 	20:34  
190	Sr 	20:36  
191	Jr 	20:39  
192	Sr 	20:42  
193	Fr 	20:44  
194	Sr 	20:45  
195	Sr 	20:45  
196	Fr 	20:49  
197	Sr 	20:50  
198	Sr 	20:52  
199	Jr 	20:53  
200	So 	20:57  
201	Fr 	21:00  
202	Jr 	21:05  
203	Sr 	21:11  
204	Sr 	21:16  
205	So 	21:19  
206	So 	21:24  
207	Sr 	21:29  
208	Sr 	21:33  
209	So 	21:33  
210	Jr 	21:34 
211	Jr 	22:08  
