Place	Grade	Time
1	JR	15:59.82  
2	FR	16:07.31   
3	SR	16:10.41  
4	FR	16:33.08   
5	SO	16:35.50 
6	SR	16:37.94  
7	SO	16:39.32   
8	JR	16:40.11  
9	SO	16:40.28   
10	JR	16:42.65  
11	JR	16:45.87   
12	FR	16:45.99   
13	SR	16:46.75   
14	JR	16:46.75   
15	SR	16:59.67   
16	SO	17:00.14 
17	SR	17:00.63   
18	FR	17:01.07  
19	SO	17:01.60 
20	SR	17:02.07   
21	SO	17:03.52   
22	JR	17:05.66   
23	FR	17:06.44   
24	JR	17:07.52   
25	SO	17:08.50   
26	SO	17:09.58  
27	JR	17:10.19  
28	FR	17:12.08   
29	SR	17:15.06 
30	SO	17:15.62   
31	SR	17:15.76  
32	SO 	17:17.89  
33	SR 	17:18.07  
34	SR 	17:18.09  
35	JR 	17:19.32  
36	SR	17:22.29   
37	SR	17:22.98   
38	SR	17:25.22   
39	JR 	17:26.02  
40	JR	17:28.38   
41	JR	17:29.68  
42	FR	17:29.94   
43 	JR	17:33.39 
44	SR	17:33.84   
45	SR	17:34.65   
46	SO	17:35.13   
47	FR	17:35.20  
48	JR	17:35.75   
49	SO	17:36.74   
50	JR	17:36.93   
51	JR	17:37.48   
52	SO	17:38.30   
53	SR	17:39.41   
54	SR	17:41.21  
55	SR	17:41.72   
56	SO	17:44.51   
57	SO	17:45.80   
58	JR 	17:46.88  
59	JR	17:47.07   
60	SR	17:47.62   
61	SR	17:47.67   
62	FR	17:48.31   
63	SR	17:48.32   
64	SO	17:49.15   
65	FR	17:50.57   
66	SR	17:50.93   
67	FR	17:51.37   
68	SR	17:52.85  
69	FR	17:55.85   
70	SR	17:56.44   
71	SR	17:56.55   
72	SR	17:56.99   
73	SR	17:58.35   
74	SO	17:58.95  
75	SR	17:59.41   
76	SO	17:59.77   
77	SR	17:59.83   
78	FR	18:00.84   
79	FR	18:01.85   
80	FR	18:02.11   
81	FR	18:02.66  
82	FR	18:02.68   
83	SR	18:03.37   
84	JR	18:03.76   
85	SO	18:04.43   
86	SR	18:05.48   
87	SO	18:06.62   
88	SR	18:06.86   
89	FR	18:07.14  
90	SR	18:07.17   
91	SO	18:07.32   
92	JR	18:07.63  
93	SO	18:09.19   
94	SO	18:09.28   
95	SR	18:09.40   
96	SO	18:09.58   
97	SR	18:09.81   
98	SO	18:10.33  
99	FR	18:10.45   
100	FR	18:11.16   
101	JR	18:12.19   
102	SR	18:12.24   
103	JR	18:12.43   
104	SR	18:13.05   
105	SO	18:13.24  
106	SO	18:14.02   
107 	SO	18:14.10   
108	SR	18:14.56  
109	JR	18:16.15   
110	SR	18:16.22  
111	SO	18:16.34   
112	JR	18:16.49   
113	FR	18:16.72   
114	SO	18:16.98   
115	FR	18:18.44   
116	JR	18:18.49   
117	SR	18:18.51   
118	SR	18:19.07 
119	JR	18:19.62   
120	FR	18:19.65   
121	SO	18:20.27   
122	SR	18:20.49   
123	SO	18:20.50  
124	FR	18:20.62   
125	SO	18:21.28   
126	JR	18:22.30   
127	JR	18:22.68   
128	FR	18:22.70  
129	JR	18:22.72  
130	SR	18:24.02  
131	SR	18:25.57   
132	SR	18:25.91  
133	SR	18:25.97   
134	SO	18:26.25   
135	JR	18:26.82  
136	FR	18:27.47 
137	SR	18:28.80   
138	SR	18:29.95   
139	JR	18:30.20	   
140 	JR	18:31.12   
141	FR	18:31.78   
142	SR	18:31.93   
143	JR	18:33.11  
144	FR	18:33.70 
145	SR	18:34.36   
146	SR	18:34.84 
147	FR 	18:35.36  
148	SR	18:35.45   
149	SO 	18:35.99  
150	JR	18:36.64   
151	SO	18:37.46  
152	SO	18:37.64
153	SR	18:38.03
154	FR	18:38.45  
155	FR	18:38.85  
156	FR	18:39.30 
157	JR	18:40.09  
158	FR	18:40.09 
159	FR	18:41.05 
160	SR	18:42.31  
161	JR	18:42.64   
162	SO	18:43.38  
163	SR	18:44.46  
164	FR 	18:45.32 
165	JR	18:45.54   
166	JR	18:46.46	   
167	JR	18:47.14 
168	SR	18:47.43  
169	FR	18:49.66  
170	FR	18:50.25 
171	FR   	18:52.04
172	JR 	18:52.36  
173	JR	18:53.60	   
174	JR	18:53.64  
175	JR	18:54.30   
176	SO	18:55.56   
177	FR	18:55.72  
178	JR	18:56.40   
179	SR	18:59.44 
180	SO	19:00.90  
181	FR	19:01.06 
182	JR 	19:01.55  
183	SR	19:01.85
184	SO	19:02.02  
185	SO	19:04.67   
186	JR	19:05.72  
187	SR	19:06.04   
188	SO	19:08.24  
189	FR	19:09.47   
190	JR	19:10.02   
191	SR	19:12.53   
192	SR	19:15.83   
193	FR	19:17.22
194	JR	19:18.24 
195	JR	19:18.31 
196	JR	19:19.91
197	SO	19:19.97   
198	SR	19:21.74
199	SR	19:23.17   
200	JR	19:24.64  
201	SO	19:25.99	  
202	SR	19:26.57   
203	JR	19:29.35	   
204	JR	19:31.56	   
205	SR	19:33.73	   
206	SR	19:43.88	   
207	SR	19:48.88	  
208	SO	19:51.37	  
209	JR	20:13.16	 
